user_session_id,user_id,product_id,click_through_rate,add_to_cart_flag,cart_abandonment_score,purchase_probability,device_type
S00059,U13202,P505,0.6101,0,0.1363,0.713,mobile
S00060,U13556,P254,0.9322,1,0.6374,0.6821,desktop
S00061,U13890,P282,0.2088,0,0.3262,0.4147,mobile
S00062,U10646,P422,0.7795,0,0.5382,0.6515,desktop
S00063,U16164,P388,0.6277,1,0.0632,0.7547,desktop
S00064,U12888,P357,0.764,1,0.7546,,mobile
S00065,U16310,P174,0.0578,0,0.5904,0.2139,mobile
S00066,U15393,P273,0.2009,0,0.24,0.4473,mobile
S00067,U12435,P429,,1,0.639,0.5663,desktop
S00068,U10600,P330,0.494,0,0.4691,,mobile
S00069,U12363,P346,0.99,1,0.5114,0.7841,desktop
S00070,U12061,P260,0.5876,0,0.0876,0.7355,mobile
S00071,U10241,P285,0.9071,1,0.0314,0.9434,desktop
S00072,U12041,P490,0.01,0,0.3384,0.2951,tablet
S00073,U12824,P242,0.6576,1,0.0558,0.7751,desktop
S00074,U17513,P381,0.1823,0,0.3431,0.3921,tablet
S00075,U12612,P494,0.5063,0,0.3798,0.5627,mobile
S00076,U17041,P227,0.2385,0,,0.4429,mobile
S00077,U11363,P265,0.2871,0,0.75,0.2625,mobile
S00078,U16235,P126,0.3367,1,0.4242,0.4316,mobile
S00079,U15486,P345,0.6787,1,0.0995,0.7828,mobile
S00080,U17099,P586,0.8184,1,0.4319,,desktop
S00081,U11478,P234,0.5836,0,0.0692,0.7267,desktop
S00082,U17595,P484,,1,0.4489,0.6011,desktop
S00083,U12556,P301,,1,0.758,0.5551,desktop
S00084,U10775,P120,0.1087,0,0.7877,0.1437,mobile
S00085,U14014,P178,0.1873,0,0.4398,0.3533,mobile
S00086,U10034,P257,0.8424,1,0.898,0.5181,desktop
S00087,U16349,P193,0.4281,0,0.0838,0.631,mobile
S00088,U13152,P107,0.99,1,0.922,,desktop
S00089,U11955,P571,,0,0.9102,0.1581,mobile
S00090,U11585,P438,0.8327,1,0.917,0.5187,desktop
S00091,U13943,P358,0.99,1,0.4765,0.7848,desktop
S00092,U17555,P154,0.99,1,,0.9522,desktop
S00093,U13073,P498,0.7257,0,0.5353,0.6074,mobile
S00094,U11021,P135,0.0843,0,0.4958,0.2699,mobile
S00095,U13461,P105,0.5321,0,0.2305,0.6275,mobile
S00096,U12613,P476,0.5473,1,0.7635,0.4064,desktop
S00097,U15225,P141,0.8879,1,0.0317,,mobile
S00098,U13843,P149,0.99,1,0.8523,0.6227,desktop
S00099,U17989,P211,0.5581,1,0.6323,,mobile
S00100,U11500,P245,0.6642,1,0.8848,0.4213,desktop
S00101,U14798,P329,0.4697,0,0.3809,0.5411,mobile
S00102,U16545,P310,0.4928,1,0.1728,0.6298,mobile
S00103,U16873,P596,0.01,0,0.3174,0.3042,tablet
S00104,U15675,P405,0.8157,1,0.9329,0.5021,desktop
S00105,U10161,P129,0.01,0,0.3432,0.293,mobile
S00106,U14297,P560,0.99,1,0.0283,0.9781,desktop
S00107,U11981,P394,0.9165,1,0.6914,0.6642,desktop
S00108,U10995,P215,0.7034,1,0.7807,0.5031,desktop
S00109,U16413,P495,0.5578,1,0.616,0.4904,mobile
S00110,U14911,P325,0.4472,0,0.747,0.3703,desktop
S00111,U13342,P158,0.99,1,0.5588,0.7493,desktop
S00112,U14551,P175,0.7731,1,0.3426,0.7322,desktop
S00113,U17629,P527,,0,0.5945,,mobile
S00114,U13798,P315,0.4016,0,0.7084,0.3607,mobile
S00115,U11275,P231,0.9855,1,,0.7033,desktop
S00116,U11016,P519,0.9541,0,0.7627,0.6407,desktop
S00117,U17869,P597,0.8059,1,,0.5115,desktop
S00118,U16439,P403,0.4105,0,0.0364,0.6557,mobile
S00119,U17892,P497,0.1655,1,0.7341,0.1994,mobile
S00120,U16863,P180,,1,0.6732,,desktop
S00121,U17916,P404,0.4964,1,0.9668,,mobile
S00122,U10337,P166,0.99,1,0.1502,0.9255,desktop
S00123,U10878,P329,0.5413,1,0.5543,0.5075,desktop
S00124,U11076,P570,0.6973,1,0.3854,0.6557,desktop
S00125,U14887,P432,,1,0.3051,0.8005,desktop
S00126,U13993,P492,0.3857,0,0.5868,0.3897,desktop
S00127,U16360,P376,0.01,0,0.6185,0.1743,tablet
S00128,U14859,P460,0.99,1,0.7099,0.6985,desktop
S00129,U16331,P171,0.5348,1,,0.3266,desktop
S00130,U10379,P308,0.9116,1,0.5021,0.7287,desktop
S00131,U10492,P371,,0,,,desktop
S00132,U17208,P243,0.4203,1,0.8299,,mobile
S00133,U15276,P350,0.8965,0,0.1357,0.878,desktop
S00134,U12062,P383,0.2889,0,0.4984,0.3721,mobile
S00135,U13884,P278,0.3564,0,,0.3845,mobile
S00136,U10064,P539,0.3876,0,,,mobile
S00137,U12568,P179,0.5569,0,0.6204,0.4737,mobile
S00138,U15463,P156,,1,0.6469,0.6791,desktop
S00139,U15248,P465,0.8244,0,0.1794,,desktop
S00140,U12027,P407,0.2491,1,0.9163,,mobile
S00141,U12695,P273,0.6265,0,0.8869,0.4131,desktop
S00142,U11495,P561,0.01,0,0.2628,0.3133,tablet
S00143,U17230,P337,,1,0.7218,0.4999,desktop
S00144,U15258,P591,0.4661,1,0.6299,0.4173,mobile
S00145,U15618,P265,0.99,1,0.6644,0.7181,desktop
S00146,U16736,P183,0.4291,1,0.5932,0.4118,mobile
S00147,U10391,P592,,0,0.372,0.4219,mobile
S00148,U15794,P147,0.7987,1,0.037,0.8788,desktop
S00149,U14514,P226,0.01,0,,0.2426,tablet
S00150,U16432,P268,0.9434,1,0.8584,0.6076,desktop
S00151,U14474,P453,0.5491,0,0.0365,0.721,desktop
S00152,U15892,P473,0.9757,1,0.682,0.7023,desktop
S00153,U13561,P542,0.9249,1,0.102,0.9089,desktop
S00154,U12278,P448,0.01,0,0.6162,,tablet
S00155,U17161,P166,0.2503,0,0.4699,0.3766,mobile
S00156,U16184,P429,0.3116,0,0.5904,0.3455,mobile
S00157,U13099,P439,0.5023,1,0.4798,0.5028,mobile
S00158,U16278,P293,,0,0.1731,0.4671,mobile
S00159,U10200,P254,0.112,0,0.9757,0.0645,mobile
S00160,U15959,P259,0.3579,0,0.9678,0.2093,mobile
S00161,U14875,P283,0.2471,1,0.2263,0.4798,tablet
S00162,U17073,P365,0.4574,0,0.802,0.3381,desktop
S00163,U13104,P267,0.2982,0,0.8144,0.2555,desktop
S00164,U17215,P244,0.9381,1,0.4795,0.768,desktop
S00165,U14598,P285,0.826,0,0.8871,0.5277,desktop
S00166,U12454,P473,0.7925,1,,0.5342,desktop
S00167,U13645,P452,0.3465,0,0.6687,0.3461,mobile
S00168,U15847,P361,0.4,0,0.5508,0.4278,mobile
S00169,U10804,P522,0.2413,0,0.6296,,tablet
S00170,U16242,P594,0.99,1,0.2736,0.8723,desktop
S00171,U12731,P373,0.4982,0,0.9171,0.3262,mobile
S00172,U15991,P556,0.2389,0,0.825,0.2025,mobile
S00173,U12773,P427,0.0416,0,,0.1573,tablet
S00174,U11570,P444,0.1014,0,0.6328,,tablet
S00175,U15056,P322,0.4703,0,0.1559,0.6386,mobile
S00176,U17906,P141,0.8732,0,0.7226,0.6114,desktop
S00177,U16756,P103,,0,0.9881,0.4809,desktop
S00178,U15581,P375,0.99,1,0.4451,0.8127,desktop
S00179,U12690,P383,0.5213,1,0.7021,0.4323,mobile
S00180,U13840,P523,,1,0.1932,0.6574,desktop
S00181,U11028,P292,0.7952,1,0.2113,,desktop
S00182,U17385,P203,0.6407,1,0.7621,0.4607,mobile
S00183,U10502,P346,0.2942,0,0.1698,0.5169,mobile
S00184,U16910,P399,0.2883,0,0.2005,0.5003,mobile
S00185,U14493,P122,0.373,1,0.5198,0.4112,mobile
S00186,U10870,P540,0.3627,1,0.11,,mobile
S00187,U16938,P402,,1,0.1161,0.7946,desktop
S00188,U14488,P112,0.2909,0,0.0143,0.5964,mobile
S00189,U10206,P243,0.99,1,0.8833,0.6237,desktop
S00190,U15134,P317,,1,0.2087,0.6116,mobile
S00191,U15977,P282,0.6079,0,0.0341,0.7702,desktop
S00192,U17721,P450,0.5423,1,0.9138,0.3387,desktop
S00193,U17035,P341,0.3485,0,0.1222,0.5687,mobile
S00194,U11484,P292,0.4733,0,0.8092,0.3441,mobile
S00195,U17858,P564,0.8515,1,,0.6806,desktop
S00196,U17742,P371,0.1691,0,0.4147,0.3537,tablet
S00197,U10863,P474,0.5498,1,0.4464,0.559,mobile
S00198,U12790,P264,0.3569,1,0.2847,0.5178,mobile
S00199,U17408,P279,,1,,0.351,tablet
S00200,U10563,P216,,0,0.4396,,desktop
S00201,U15116,P365,0.6483,0,0.6675,0.5059,desktop
S00202,U14191,P477,0.2548,0,0.3338,0.4235,desktop
S00203,U16019,P137,0.5697,1,0.3226,,mobile
S00204,U11757,P143,0.1335,0,0.501,0.296,mobile
S00205,U16628,P450,0.6675,0,0.2834,0.6826,mobile
S00206,U17574,P173,0.01,0,0.9404,0.021,mobile
S00207,U16374,P537,0.831,1,0.3549,0.7458,desktop
S00208,U16892,P468,0.1905,0,0.233,0.43,mobile
S00209,U11678,P325,0.4955,0,0.2964,,mobile
S00210,U13242,P406,,0,0.8898,0.4276,desktop
S00211,U14636,P407,0.6832,0,0.0617,0.8016,mobile
S00212,U11059,P553,0.5596,0,0.893,0.372,desktop
S00213,U16668,P447,0.4327,1,0.6137,0.405,mobile
S00214,U15279,P575,0.4442,1,0.6044,0.4157,mobile
S00215,U11722,P414,0.269,0,0.0896,0.537,mobile
S00216,U13314,P112,0.5772,1,0.3853,0.6011,mobile
S00217,U13157,P524,0.1482,0,0.9221,,mobile
S00218,U15915,P111,0.4734,0,0.0103,0.6888,mobile
S00219,U12625,P149,0.5439,0,0.3931,0.5786,mobile
S00220,U12729,P587,0.2068,0,0.5461,0.3043,mobile
S00221,U16700,P412,0.5842,1,0.4412,,mobile
S00222,U11597,P533,0.7558,0,0.8019,0.5097,desktop
S00223,U13060,P348,0.6462,0,0.5297,0.5641,desktop
S00224,U12693,P218,0.3954,1,0.6537,0.3807,mobile
S00225,U14891,P156,0.1919,1,0.1278,0.4761,mobile
S00226,U15147,P281,0.3515,0,0.2454,0.5173,mobile
S00227,U15739,P549,,1,0.8814,0.2848,desktop
S00228,U13627,P363,0.9823,1,0.5664,0.7416,desktop
S00229,U11363,P205,0.5671,1,0.6717,0.4718,mobile
S00230,U17965,P290,0.557,0,0.2737,0.6376,tablet
S00231,U11981,P236,0.0611,0,0.8744,,tablet
S00232,U15450,P287,0.5159,1,,0.6449,mobile
S00233,U11663,P219,0.3755,1,0.7566,0.3249,mobile
S00234,U11529,P341,0.4712,0,0.1974,0.6068,mobile
S00235,U12038,P418,0.99,1,0.7437,0.6695,desktop
S00236,U17515,P171,0.5792,1,0.9716,0.3494,mobile
S00237,U15592,P342,0.4817,1,0.5983,0.4399,mobile
S00238,U13302,P230,,0,0.7235,0.1146,tablet
S00239,U12237,P556,0.8781,1,0.6823,0.6316,desktop
S00240,U17392,P368,0.5214,0,0.4161,0.5414,desktop
S00241,U15504,P492,0.8798,1,,,desktop
S00242,U15496,P578,0.8585,1,0.6259,0.6447,desktop
S00243,U11306,P572,0.2003,0,0.8965,0.1638,mobile
S00244,U14029,P151,0.7001,0,,0.4467,desktop
S00245,U16776,P591,0.99,1,0.3144,0.8691,desktop
S00246,U12675,P161,,0,0.8496,0.4145,mobile
S00247,U15068,P218,0.8073,0,,0.8232,mobile
S00248,U15864,P464,,0,0.6261,0.2255,mobile
S00249,U11282,P363,0.9297,1,,0.7417,desktop
S00250,U17526,P338,0.966,0,0.3125,0.8561,desktop
S00251,U10709,P450,0.99,1,0.7683,,desktop
S00252,U15575,P480,0.3524,0,0.7166,0.3145,tablet
S00253,U15530,P354,0.5445,1,0.8337,0.3745,mobile
S00254,U14744,P272,0.7015,0,0.6295,0.5672,mobile
S00255,U14413,P408,,1,0.2135,0.5916,mobile
S00256,U13748,P336,0.6404,1,,0.5545,desktop
S00257,U17392,P418,0.4781,0,0.2274,0.5979,desktop
S00258,U17986,P194,0.0965,0,0.9018,0.1018,mobile
S00259,U15353,P436,0.4946,0,0.634,0.4463,mobile
S00260,U14779,P594,0.4877,0,0.4395,0.5262,desktop
S00261,U10663,P156,0.7985,0,0.1452,0.8319,desktop
S00262,U11998,P537,0.3391,0,0.664,0.3439,mobile
S00263,U17994,P502,0.01,0,0.0958,0.3854,tablet
S00264,U13445,P166,0.5343,0,0.092,0.6885,mobile
S00265,U13743,P145,0.3305,1,0.0674,0.5964,mobile
S00266,U15727,P193,0.3127,0,,0.2079,mobile
S00267,U11495,P237,,0,0.4457,0.6937,desktop
S00268,U13304,P468,0.0737,0,0.1628,0.4074,tablet
S00269,U13763,P192,0.132,0,0.7274,0.1974,tablet
S00270,U15232,P331,0.99,1,0.4468,0.812,desktop
S00271,U11853,P501,0.3545,0,0.9162,0.244,mobile
S00272,U15616,P495,0.9276,1,0.0794,0.9202,desktop
S00273,U16585,P148,0.01,0,0.2591,0.3293,tablet
S00274,U14659,P122,,0,0.9537,0.1347,mobile
S00275,U11291,P161,0.4247,0,0.7098,,mobile
S00276,U13581,P366,0.7712,1,0.4871,0.6543,desktop
S00277,U17974,P428,0.2594,1,0.8116,,mobile
S00278,U13457,P217,0.518,0,0.7005,0.4311,mobile
S00279,U17554,P539,0.4491,1,0.109,0.6322,desktop
S00280,U17280,P187,0.1728,0,0.6756,0.2433,tablet
S00281,U11636,P188,0.0249,0,0.2498,,tablet
S00282,U13696,P154,0.6912,1,0.1492,0.7685,desktop
S00283,U12999,P252,,0,0.0115,0.6669,tablet
S00284,U13152,P338,0.6229,1,0.5383,0.5614,mobile
S00285,U10698,P364,0.9129,1,0.7011,0.6579,desktop
S00286,U12160,P367,0.2708,0,,0.4402,mobile
S00287,U14097,P494,0.4548,0,,,desktop
S00288,U14737,P212,0.99,1,0.5551,0.7509,desktop
S00289,U16363,P265,0.1289,0,0.8009,,mobile
S00290,U15685,P255,0.3379,0,0.3444,0.4667,tablet
S00291,U10854,P107,0.456,0,0.1617,0.6278,mobile
S00292,U15855,P301,0.769,0,0.3241,0.7378,desktop
S00293,U17392,P316,0.3883,1,0.015,0.6522,mobile
S00294,U16528,P530,0.9886,0,0.1699,0.9306,desktop
S00295,U13474,P391,0.7297,0,0.2405,0.7513,mobile
S00296,U15757,P480,0.6182,0,0.3194,0.6387,mobile
S00297,U15249,P149,0.1764,0,0.8674,0.1483,tablet
S00298,U15172,P206,0.99,1,0.3957,0.8196,desktop
S00299,U11707,P108,0.9376,1,,0.7984,desktop
S00300,U12777,P332,0.7339,1,0.509,0.6234,desktop
S00301,U15791,P287,0.9741,1,0.252,0.8724,desktop
S00302,U11733,P555,0.1265,0,0.2347,0.3924,tablet
S00303,U15535,P422,0.8947,1,0.3649,0.7925,desktop
S00304,U16390,P408,0.6078,1,0.6548,0.4881,mobile
S00305,U14931,P437,0.9001,1,0.9072,0.5617,desktop
S00306,U13510,P209,0.1513,0,,0.3359,tablet
S00307,U10202,P582,,1,0.4262,0.6498,desktop
S00308,U13255,P244,0.8449,1,,0.8753,mobile
S00309,U14218,P327,,0,,,desktop
S00310,U14496,P408,0.7912,1,0.6746,0.585,desktop
S00311,U10766,P511,,0,0.6558,0.4737,mobile
S00312,U14389,P213,0.333,0,0.874,0.2354,tablet
S00313,U12327,P162,0.4371,0,0.2802,0.5659,mobile
S00314,U12931,P498,,0,0.4507,0.3585,mobile
S00315,U17777,P374,0.3139,0,0.5604,0.3597,mobile
S00316,U10197,P223,0.157,0,0.708,0.2202,mobile
S00317,U17125,P185,0.7616,1,0.2948,0.7318,desktop
S00318,U11930,P169,0.8045,1,0.6804,0.6045,desktop
S00319,U13582,P146,0.363,1,0.0103,0.6396,mobile
S00320,U16895,P298,0.99,1,0.831,,desktop
S00321,U16287,P463,0.1549,0,0.6211,0.2421,mobile
S00322,U10608,P531,0.9009,1,0.285,0.8161,desktop
S00323,U13272,P300,0.01,0,0.3575,,tablet
S00324,U11147,P375,0.99,1,0.1898,0.9228,desktop
S00325,U14282,P136,,0,0.2932,,desktop
S00326,U13397,P302,0.837,1,0.8427,0.5532,desktop
S00327,U12511,P229,0.99,1,,0.6535,desktop
S00328,U17516,P547,0.4803,1,0.1972,0.6265,mobile
S00329,U11794,P569,0.1824,1,0.6929,0.2414,mobile
S00330,U10659,P595,0.1954,0,0.1997,0.4471,tablet
S00331,U12811,P391,0.43,0,,0.2996,mobile
S00332,U17098,P488,0.0697,0,0.9227,0.063,mobile
S00333,U16051,P163,0.2331,0,0.4596,0.3568,mobile
S00334,U16546,P362,0.6747,1,0.0501,0.7874,desktop
S00335,U11369,P553,0.5315,0,0.2648,,desktop
S00336,U11986,P219,0.857,1,0.5388,0.6958,desktop
S00337,U15630,P377,0.8489,1,,0.8662,mobile
S00338,U10146,P301,0.395,1,0.9448,0.255,mobile
S00339,U13219,P145,0.2611,0,0.2902,0.4603,mobile
S00340,U12911,P267,0.7,1,0.6882,0.541,desktop
S00341,U11734,P544,0.3538,0,0.9011,0.2501,desktop
S00342,U11843,P209,0.0673,0,0.1198,0.408,mobile
S00343,U10488,P145,0.5203,0,0.2895,0.6097,mobile
S00344,U12976,P311,0.7278,1,0.8644,0.481,desktop
S00345,U11959,P127,0.4754,0,0.0344,0.6939,desktop
S00346,U15759,P186,0.4355,0,0.2905,0.5605,mobile
S00347,U16694,P390,0.744,1,,0.5727,desktop
S00348,U12385,P484,0.5309,1,,0.71,mobile
S00349,U12919,P256,,1,0.1282,0.5108,mobile
S00350,U14736,P364,0.5124,1,0.4274,0.5312,tablet
S00351,U11802,P364,0.1312,0,0.1671,0.4243,mobile
S00352,U16616,P121,0.2166,0,0.3187,0.4224,mobile
S00353,U16065,P355,0.0542,0,0.4501,0.2723,mobile
S00354,U16294,P290,0.677,1,,,desktop
S00355,U15534,P549,0.7774,0,0.5333,0.638,desktop
S00356,U14061,P563,0.9529,1,,0.8231,desktop
S00357,U13369,P331,,1,0.154,0.7969,desktop
S00358,U15730,P285,0.5068,0,0.5311,,mobile
S00359,U10262,P425,0.2563,0,0.0542,0.5593,tablet
S00360,U15883,P282,0.2786,0,0.9354,0.1921,mobile
S00361,U16287,P496,0.15,0,0.7456,0.1999,mobile
S00362,U16489,P580,0.1152,0,0.4534,0.306,tablet
S00363,U10623,P502,0.3132,0,0.0154,0.6088,tablet
S00364,U11016,P562,0.7014,1,,0.8015,mobile
S00365,U13643,P516,0.3952,0,0.8148,,desktop
S00366,U14976,P301,0.01,0,0.2942,0.3141,tablet
S00367,U12049,P164,,1,0.1931,,desktop
S00368,U17040,P543,0.99,1,0.4209,0.8232,desktop
S00369,U15423,P495,0.6344,1,0.5122,0.5648,mobile
S00370,U16397,P142,,0,,0.7998,desktop
S00371,U13723,P320,0.3953,1,0.6188,0.3814,mobile
S00372,U14548,P116,0.5322,0,0.8624,0.3694,mobile
S00373,U13108,P423,0.4835,1,0.4564,0.5022,mobile
S00374,U15279,P384,0.7624,1,0.8076,0.5255,mobile
S00375,U14090,P282,0.7209,1,,0.7256,desktop
S00376,U17158,P490,,0,0.7908,0.3801,mobile
S00377,U12056,P143,0.4094,1,0.089,0.618,mobile
S00378,U17400,P560,0.6254,1,0.514,,mobile
S00379,U13170,P488,0.2235,0,0.5619,0.3215,tablet
S00380,U11682,P287,0.388,0,0.2492,0.551,mobile
S00381,U16959,P489,0.2965,0,0.1597,0.5369,mobile
S00382,U12255,P581,0.7517,1,0.3332,0.7095,desktop
S00383,U11154,P362,0.5631,0,0.4389,0.5555,desktop
S00384,U14499,P273,,1,0.4785,0.7878,desktop
S00385,U16295,P540,0.01,0,0.4416,0.2506,tablet
S00386,U16197,P153,0.4322,1,0.4071,0.5083,mobile
S00387,U13191,P319,0.0946,0,0.5448,0.2547,mobile
S00388,U11696,P145,0.8724,1,0.8852,0.5552,desktop
S00389,U13991,P493,0.7009,0,0.5173,,desktop
S00390,U14723,P359,0.9263,1,0.9707,0.535,mobile
S00391,U14682,P294,,0,0.3367,0.582,mobile
S00392,U11648,P508,0.01,0,0.2828,0.3047,tablet
S00393,U15539,P570,0.99,1,0.6205,,desktop
S00394,U11445,P446,,0,0.3023,0.5596,mobile
S00395,U14199,P561,0.0853,0,0.4986,0.2549,mobile
S00396,U13923,P160,0.5567,0,0.1692,0.6681,desktop
S00397,U10253,P265,0.1893,0,0.3059,0.3978,mobile
S00398,U17394,P259,0.6945,0,0.6507,0.554,mobile
S00399,U13183,P250,0.1395,0,0.9784,0.0792,mobile
S00400,U12557,P210,0.4088,0,0.334,,mobile
S00401,U15592,P587,0.6212,1,0.3835,0.6272,desktop
S00402,U10098,P136,0.6707,1,0.439,0.6317,desktop
S00403,U12200,P102,,0,,0.6692,mobile
S00404,U15980,P582,0.495,1,0.3548,0.567,mobile
S00405,U12961,P112,,0,0.8311,0.3907,desktop
S00406,U16015,P261,0.01,0,0.8691,,mobile
S00407,U14973,P443,,0,0.9785,0.3258,desktop
S00408,U14433,P548,0.3253,0,0.4965,0.4083,mobile
S00409,U13777,P431,0.5139,1,0.9189,0.3201,mobile
S00410,U12869,P363,0.8981,1,0.952,0.5268,desktop
S00411,U13234,P182,0.99,1,,,desktop
S00412,U13791,P364,0.9314,1,0.094,0.9161,desktop
S00413,U10956,P511,0.2503,0,,0.4998,mobile
S00414,U15800,P433,0.4575,1,0.6382,0.4088,mobile
S00415,U14067,P479,0.01,0,0.7832,0.1032,mobile
S00416,U10160,P318,0.5347,0,0.812,0.3926,mobile
S00417,U15699,P245,,1,0.3369,0.8268,desktop
S00418,U16944,P397,0.1736,0,0.9292,0.1344,mobile
S00419,U14493,P396,0.7601,1,0.0825,0.8225,mobile
S00420,U11300,P553,0.9614,1,0.7492,0.6651,desktop
S00421,U14911,P260,0.6654,1,0.8713,0.4278,mobile
S00422,U13987,P328,,1,0.9514,,desktop
S00423,U11527,P333,0.6704,0,0.0519,0.7985,desktop
S00424,U16015,P188,0.3035,0,0.337,0.4645,mobile
S00425,U15511,P432,,0,0.3834,0.3987,mobile
S00426,U15254,P409,0.3218,0,0.071,0.5754,desktop
S00427,U11218,P314,0.2245,0,0.4566,0.3531,tablet
S00428,U14496,P519,0.99,1,,0.6455,desktop
S00429,U14735,P196,0.3826,0,0.8112,,mobile
S00430,U13104,P312,0.99,1,0.7035,0.7012,mobile
S00431,U12735,P453,0.6825,0,0.7303,0.4985,desktop
S00432,U14555,P411,0.1442,0,0.5986,0.2601,mobile
S00433,U10954,P199,0.4772,0,,0.3239,mobile
S00434,U14565,P244,0.1155,0,,0.195,tablet
S00435,U13446,P109,0.9764,1,0.3859,0.816,desktop
S00436,U11045,P570,0.8813,0,0.7655,0.5976,desktop
S00437,U16893,P143,0.6554,0,0.834,0.4525,mobile
S00438,U11693,P350,0.0908,0,,0.4326,mobile
S00439,U16181,P485,0.7962,1,,0.5078,desktop
S00440,U16373,P326,0.7271,1,0.2964,0.7256,desktop
S00441,U13436,P497,0.2785,0,0.6699,0.2921,tablet
S00442,U10562,P348,0.6359,1,0.2703,0.6845,desktop
S00443,U12485,P594,,1,0.4288,0.3674,mobile
S00444,U15895,P592,0.79,0,0.2202,0.7803,desktop
S00445,U13354,P268,0.4469,0,0.2404,,mobile
S00446,U16170,P229,0.8993,0,0.4814,,desktop
S00447,U10225,P118,0.6168,1,0.2114,0.6845,desktop
S00448,U17444,P435,0.9527,0,0.4247,0.8001,desktop
S00449,U14893,P334,0.1581,0,0.6594,,mobile
S00450,U17776,P591,,1,0.3415,0.6532,desktop
S00451,U16427,P444,0.7798,1,0.8429,,desktop
S00452,U17022,P100,,1,0.3671,0.8463,desktop
S00453,U10959,P229,0.5457,0,0.9245,,desktop
S00454,U15600,P595,0.5677,1,0.7035,0.4584,mobile
S00455,U14548,P126,0.3945,1,0.2457,0.5418,mobile
S00456,U13067,P101,0.8996,1,0.4309,0.7525,desktop
S00457,U17996,P349,0.6615,1,0.0305,0.8026,desktop
S00458,U10815,P321,0.0759,0,0.1687,,tablet
S00459,U14754,P534,0.4717,0,0.5837,0.4404,mobile
S00460,U17683,P237,0.7635,1,0.7111,0.5677,mobile
