Age,Income,Education_Level,Work_Experience,Purchase_Decision
50.0,52322.13,High School,26.0,0
,109340.22,Master,38.0,1
56.0,66757.28,,20.0,1
35.0,57606.81,Bachelor,6.0,0
57.0,67455.67,Bachelor,22.0,1
18.0,40863.89,Bachelor,0.0,0
28.0,74996.95,PhD,6.0,1
45.0,60914.39,Bachelor,15.0,1
42.0,50826.54,Bachelor,11.0,1
40.0,89193.66,PhD,14.0,1
48.0,61064.33,Bachelor,14.0,1
47.0,36537.92,High School,10.0,0
59.0,23037.48,High School,1.0,0
52.0,,Master,34.0,1
24.0,40885.1,Bachelor,2.0,0
33.0,39878.12,Bachelor,3.0,0
43.0,72879.71,Bachelor,24.0,1
65.0,72070.8,High School,14.0,0
19.0,38948.56,,1.0,0
,60859.63,High School,0.0,0
65.0,,Bachelor,32.0,1
29.0,58426.53,Bachelor,11.0,1
22.0,39360.52,,2.0,0
54.0,67188.67,Bachelor,19.0,1
49.0,88918.11,Master,28.0,1
26.0,72438.99,Master,0.0,1
58.0,23790.69,High School,2.0,0
52.0,30196.95,High School,4.0,0
36.0,40249.01,Bachelor,1.0,0
65.0,86938.85,Master,22.0,1
33.0,66238.74,Master,13.0,1
,73173.94,,1.0,1
37.0,52436.96,Bachelor,6.0,1
41.0,55523.91,Bachelor,9.0,1
50.0,42680.1,Bachelor,4.0,0
41.0,51063.94,High School,14.0,0
28.0,44062.08,High School,9.0,0
25.0,75971.05,Master,6.0,1
53.0,51611.61,High School,,0
55.0,41019.03,High School,16.0,0
57.0,,High School,19.0,0
37.0,88606.03,Master,19.0,1
52.0,48832.13,Bachelor,7.0,0
65.0,,Bachelor,46.0,1
42.0,65707.38,Master,1.0,1
52.0,87554.86,Bachelor,22.0,1
,46683.74,,5.0,0
46.0,55230.73,High School,20.0,1
35.0,37911.87,High School,12.0,0
63.0,98654.69,Master,28.0,1
35.0,70248.22,Master,7.0,1
19.0,48935.65,Bachelor,0.0,0
52.0,61513.81,Bachelor,17.0,1
33.0,45303.81,Bachelor,1.0,0
58.0,,High School,24.0,0
53.0,51337.98,High School,21.0,0
50.0,63117.68,High School,28.0,1
21.0,30780.39,High School,0.0,0
50.0,69447.52,,6.0,1
31.0,40417.46,High School,12.0,0
38.0,47691.01,High School,11.0,0
65.0,90833.24,Bachelor,35.0,1
37.0,74417.32,Master,10.0,1
25.0,41287.46,High School,5.0,0
24.0,28405.15,High School,1.0,0
20.0,40479.27,Bachelor,2.0,0
34.0,53672.78,Bachelor,4.0,0
50.0,58195.46,Bachelor,15.0,1
65.0,63921.95,Master,10.0,0
,76315.31,PhD,5.0,1
39.0,61761.82,Master,2.0,1
39.0,73820.48,Bachelor,15.0,1
63.0,57849.25,Bachelor,10.0,0
,46024.41,High School,9.0,0
55.0,105059.43,PhD,22.0,1
55.0,85072.15,Bachelor,,1
,45966.61,High School,16.0,0
25.0,,Bachelor,1.0,0
44.0,71486.68,High School,17.0,1
44.0,53636.34,Bachelor,11.0,1
51.0,50063.83,Bachelor,7.0,0
38.0,45005.44,Bachelor,2.0,0
47.0,86521.45,Master,26.0,1
50.0,59589.32,High School,23.0,1
45.0,42798.14,Bachelor,2.0,0
64.0,85946.3,Bachelor,37.0,1
50.0,41265.2,Bachelor,1.0,0
22.0,58835.12,Master,2.0,0
65.0,57147.06,Bachelor,16.0,0
36.0,46941.51,Bachelor,8.0,0
,47451.95,High School,3.0,0
52.0,90481.7,Master,,1
34.0,57593.66,Bachelor,,0
61.0,85291.77,Bachelor,23.0,1
45.0,56309.56,High School,27.0,1
47.0,50371.16,High School,8.0,0
46.0,67748.91,Bachelor,13.0,1
63.0,106792.47,Master,42.0,1
23.0,46971.79,Bachelor,1.0,0
52.0,88922.27,Master,20.0,1
58.0,87362.89,Bachelor,33.0,1
54.0,73850.25,Bachelor,26.0,1
41.0,34265.67,High School,4.0,0
46.0,68894.62,Master,6.0,1
63.0,51438.51,High School,21.0,0
48.0,,Master,3.0,1
52.0,70309.49,Master,13.0,1
50.0,97621.52,Master,22.0,1
38.0,64809.3,Bachelor,11.0,1
49.0,,,9.0,1
40.0,61132.72,Master,0.0,1
50.0,46770.21,High School,14.0,0
20.0,53240.31,Bachelor,1.0,0
35.0,32825.74,High School,8.0,0
42.0,63243.31,Bachelor,20.0,1
59.0,40038.3,High School,6.0,0
48.0,31795.84,,3.0,0
20.0,40339.21,Bachelor,0.0,0
57.0,99724.47,Bachelor,39.0,1
63.0,57473.95,Bachelor,11.0,0
,47549.13,High School,14.0,0
49.0,70024.9,Bachelor,14.0,1
64.0,46762.86,High School,16.0,0
39.0,65227.05,Bachelor,1.0,1
40.0,51692.12,Bachelor,11.0,1
19.0,,Bachelor,0.0,0
44.0,,Bachelor,6.0,0
59.0,95365.17,Bachelor,37.0,1
19.0,55976.71,Master,1.0,0
43.0,63715.69,Bachelor,22.0,1
34.0,55908.25,Bachelor,4.0,0
57.0,76221.54,Bachelor,29.0,1
50.0,26007.65,High School,3.0,0
26.0,58830.49,Bachelor,6.0,0
60.0,85720.88,Bachelor,34.0,1
65.0,94204.12,Bachelor,44.0,1
56.0,41958.24,High School,9.0,0
46.0,53919.54,High School,22.0,1
59.0,58039.47,Master,1.0,0
43.0,63005.96,Bachelor,11.0,1
52.0,57603.98,,23.0,1
42.0,64727.18,Bachelor,21.0,1
41.0,56575.67,Bachelor,11.0,1
30.0,,Master,2.0,1
24.0,25779.23,High School,2.0,0
53.0,63020.95,High School,20.0,0
62.0,62146.69,Master,2.0,0
37.0,35200.4,High School,5.0,0
18.0,29545.81,High School,0.0,0
25.0,98020.89,,7.0,1
63.0,,Bachelor,1.0,0
33.0,,High School,7.0,0
,42031.59,High School,12.0,0
29.0,48103.29,High School,,1
40.0,42811.04,High School,8.0,0
32.0,72915.16,Master,12.0,1
45.0,94266.97,Bachelor,22.0,1
51.0,63068.9,Bachelor,13.0,1
19.0,54040.81,Master,0.0,0
,48174.28,Bachelor,10.0,0
40.0,48933.16,High School,13.0,0
39.0,,Bachelor,15.0,1
42.0,63038.11,,9.0,1
39.0,80638.86,Master,19.0,1
39.0,51967.08,High School,15.0,0
59.0,82008.24,Bachelor,33.0,1
23.0,43208.24,Bachelor,0.0,0
32.0,66653.02,Master,13.0,1
60.0,65752.24,High School,27.0,0
54.0,57172.61,Bachelor,17.0,1
50.0,85296.85,,25.0,1
25.0,51382.2,Bachelor,5.0,0
61.0,46644.61,Bachelor,6.0,0
61.0,64831.46,High School,33.0,0
22.0,30040.51,High School,0.0,0
56.0,52832.19,Bachelor,6.0,0
21.0,58709.2,Master,0.0,0
23.0,23331.52,High School,2.0,0
62.0,81976.64,Bachelor,38.0,1
49.0,75095.13,Bachelor,20.0,1
47.0,45495.08,High School,16.0,0
64.0,103936.4,Bachelor,27.0,1
52.0,82277.22,Bachelor,31.0,1
57.0,96669.36,Master,15.0,1
33.0,50723.18,Bachelor,7.0,0
30.0,51488.57,Bachelor,9.0,0
59.0,59871.27,High School,22.0,0
47.0,86336.38,Master,15.0,1
,47753.36,,17.0,0
34.0,79966.67,Master,14.0,1
36.0,33782.99,High School,10.0,0
45.0,74435.96,Master,17.0,1
43.0,52420.63,Bachelor,5.0,1
54.0,94729.94,Master,,1
43.0,56763.61,High School,22.0,1
40.0,53753.64,Bachelor,6.0,1
26.0,51621.18,Bachelor,3.0,0
29.0,69458.82,Master,3.0,0
18.0,36119.24,High School,0.0,0
18.0,68305.49,PhD,0.0,1
64.0,93468.07,Master,30.0,1
51.0,38088.09,High School,9.0,0
49.0,82074.49,Master,20.0,1
65.0,,Bachelor,33.0,1
42.0,53075.98,Bachelor,8.0,0
57.0,50896.41,Bachelor,9.0,0
62.0,62162.18,Bachelor,10.0,0
18.0,46566.67,Bachelor,0.0,0
33.0,49653.28,Bachelor,,0
56.0,59199.47,Bachelor,13.0,1
22.0,64228.3,Bachelor,2.0,0
39.0,38474.68,Bachelor,0.0,0
46.0,31355.31,High School,6.0,0
20.0,68038.1,Master,2.0,0
29.0,68926.91,Bachelor,9.0,1
43.0,47470.06,High School,14.0,0
,47007.45,High School,15.0,0
54.0,41516.36,Bachelor,3.0,0
39.0,59515.84,Master,3.0,1
46.0,68270.19,Bachelor,23.0,1
31.0,48162.67,Bachelor,6.0,0
45.0,28185.27,High School,3.0,0
22.0,40146.1,Bachelor,2.0,0
64.0,103765.82,PhD,21.0,1
47.0,86348.2,Master,21.0,1
63.0,41954.68,High School,16.0,0
22.0,48483.56,Bachelor,4.0,0
29.0,27800.91,High School,1.0,0
33.0,77972.49,Bachelor,15.0,1
43.0,92301.36,Master,19.0,1
43.0,80871.93,Master,5.0,1
65.0,64245.46,High School,32.0,0
38.0,59947.47,Master,7.0,1
56.0,80209.59,Bachelor,35.0,1
53.0,45733.55,Bachelor,4.0,0
50.0,,Bachelor,4.0,1
47.0,77042.33,Bachelor,14.0,1
54.0,60901.16,Bachelor,9.0,0
40.0,54561.9,Bachelor,7.0,1
27.0,65496.4,Bachelor,9.0,1
22.0,36155.1,High School,3.0,0
53.0,99287.33,,29.0,1
51.0,70403.58,Bachelor,24.0,1
48.0,,High School,27.0,1
27.0,51797.25,Master,0.0,0
36.0,72228.32,Master,17.0,1
49.0,94640.99,,26.0,1
18.0,39303.72,Bachelor,0.0,0
22.0,29041.47,High School,2.0,0
62.0,71120.65,Bachelor,28.0,1
21.0,39188.52,High School,1.0,0
33.0,67957.72,Master,8.0,1
41.0,,High School,4.0,0
33.0,37949.63,High School,6.0,0
19.0,47918.98,Bachelor,1.0,0
45.0,84835.63,Bachelor,26.0,1
49.0,80570.79,Master,14.0,1
44.0,62633.45,,20.0,1
37.0,,High School,3.0,0
41.0,83953.41,High School,18.0,1
29.0,51413.35,Bachelor,0.0,0
52.0,,High School,0.0,0
50.0,50424.65,Bachelor,7.0,0
50.0,95268.55,Bachelor,31.0,1
60.0,81798.16,,29.0,1
54.0,,Master,,1
29.0,68221.95,Master,8.0,1
20.0,64941.24,Master,0.0,0
18.0,32386.1,High School,0.0,0
50.0,65742.96,High School,32.0,1
57.0,,Bachelor,12.0,0
27.0,67120.86,Master,8.0,1
60.0,122639.91,PhD,41.0,1
61.0,102963.64,Master,39.0,1
46.0,31194.68,High School,6.0,0
30.0,73280.92,Master,12.0,1
29.0,54765.86,Bachelor,7.0,0
48.0,43515.31,High School,11.0,0
63.0,89760.98,Bachelor,43.0,1
19.0,45986.17,High School,1.0,0
52.0,74670.89,Bachelor,,1
40.0,61475.37,Bachelor,11.0,1
34.0,62193.66,Bachelor,10.0,1
43.0,73860.39,Bachelor,24.0,1
25.0,65726.58,Master,4.0,1
46.0,52290.16,Bachelor,13.0,1
,68065.15,Bachelor,21.0,1
27.0,61554.45,Master,3.0,1
43.0,92675.3,Master,12.0,1
51.0,66326.28,High School,33.0,1
58.0,82309.09,Bachelor,19.0,1
24.0,35809.04,High School,6.0,0
21.0,25987.3,High School,0.0,0
62.0,77603.46,Bachelor,34.0,1
28.0,64400.06,Master,3.0,1
46.0,37694.64,High School,11.0,0
53.0,56858.59,Master,4.0,1
42.0,76413.16,,,1
38.0,63511.73,Master,2.0,1
53.0,54617.73,High School,19.0,1
27.0,63352.12,Master,4.0,1
54.0,39868.36,Bachelor,0.0,1
26.0,48132.89,Bachelor,8.0,0
41.0,,High School,9.0,0
52.0,44790.16,High School,9.0,0
52.0,65971.24,Bachelor,12.0,1
65.0,98986.68,Bachelor,47.0,1
53.0,47169.22,High School,19.0,0
35.0,27573.43,High School,3.0,0
,,Bachelor,27.0,1
,29329.66,High School,,0
41.0,65904.37,,12.0,1
,,High School,2.0,0
49.0,41367.35,High School,4.0,0
54.0,62082.07,Bachelor,18.0,1
29.0,,Bachelor,11.0,0
30.0,47027.18,Bachelor,,0
40.0,61715.29,Bachelor,16.0,1
42.0,91708.36,PhD,17.0,1
52.0,67048.26,,17.0,1
58.0,55662.99,High School,22.0,0
47.0,54730.67,Bachelor,7.0,1
34.0,68550.65,Master,8.0,1
37.0,61120.27,Bachelor,18.0,0
65.0,73442.83,High School,41.0,1
42.0,59762.79,Master,1.0,1
39.0,69958.5,Bachelor,16.0,1
30.0,53718.65,Bachelor,8.0,0
36.0,,High School,12.0,0
53.0,,High School,30.0,1
29.0,58083.16,Bachelor,11.0,1
58.0,70159.27,High School,38.0,1
36.0,65997.71,Bachelor,2.0,1
29.0,52610.29,Bachelor,2.0,0
26.0,31213.95,High School,3.0,0
24.0,78394.65,Master,1.0,1
45.0,76438.16,Master,13.0,1
31.0,56000.87,Bachelor,9.0,1
48.0,63814.12,High School,19.0,1
36.0,46086.29,High School,9.0,0
64.0,74568.29,Bachelor,23.0,1
33.0,38161.97,High School,10.0,0
22.0,74667.62,PhD,1.0,0
52.0,37111.79,High School,8.0,0
29.0,42468.71,Bachelor,2.0,0
42.0,92549.95,Bachelor,19.0,1
38.0,61176.5,Bachelor,9.0,1
53.0,62092.03,High School,29.0,1
40.0,48527.54,Bachelor,,0
33.0,29975.71,,2.0,0
56.0,88021.26,Master,28.0,1
62.0,27478.76,High School,5.0,0
59.0,61814.3,Master,0.0,0
56.0,86275.99,Master,23.0,1
31.0,44325.79,High School,5.0,0
48.0,56726.72,Master,1.0,1
22.0,,,2.0,0
52.0,91968.0,PhD,6.0,1
40.0,63662.27,Bachelor,10.0,1
46.0,61815.82,Bachelor,,1
60.0,85050.89,Bachelor,35.0,1
28.0,41726.99,High School,3.0,0
35.0,99180.03,PhD,15.0,1
64.0,34164.3,High School,4.0,0
29.0,45476.17,Bachelor,7.0,0
26.0,,Bachelor,6.0,0
27.0,76421.41,Master,,1
61.0,73907.81,High School,36.0,1
34.0,40992.79,Bachelor,0.0,0
55.0,66711.84,Bachelor,19.0,1
24.0,50344.33,Bachelor,5.0,0
63.0,49489.62,High School,21.0,0
30.0,35439.29,,8.0,0
57.0,77065.13,High School,20.0,1
59.0,78689.97,Bachelor,36.0,1
26.0,34834.89,High School,5.0,0
44.0,83020.72,Bachelor,26.0,1
19.0,29924.36,High School,1.0,0
,57749.99,Master,2.0,0
46.0,62616.27,Master,5.0,1
,68724.39,Bachelor,5.0,1
55.0,85862.19,Bachelor,31.0,1
36.0,51086.99,High School,15.0,0
25.0,,High School,3.0,0
65.0,48292.2,,15.0,0
62.0,69907.66,Bachelor,26.0,1
18.0,63798.71,Bachelor,0.0,1
,88295.43,Master,,1
34.0,46182.87,Bachelor,2.0,0
24.0,44765.75,Bachelor,0.0,0
42.0,71311.14,Bachelor,20.0,1
62.0,83077.6,Bachelor,37.0,0
21.0,28098.48,High School,1.0,0
53.0,73585.71,Bachelor,29.0,1
23.0,55232.93,,5.0,0
48.0,59335.77,Bachelor,18.0,1
36.0,70811.08,Master,14.0,1
61.0,72098.18,Bachelor,18.0,1
56.0,31521.96,High School,1.0,0
44.0,69114.79,Bachelor,7.0,1
27.0,49037.43,Bachelor,6.0,0
43.0,36160.11,High School,7.0,0
36.0,86575.52,Master,12.0,1
56.0,114679.87,PhD,26.0,1
20.0,68122.48,Master,2.0,0
62.0,37944.54,High School,11.0,0
30.0,62281.62,Master,6.0,1
45.0,62457.6,Bachelor,16.0,1
37.0,47899.55,Bachelor,4.0,0
45.0,62618.68,Bachelor,19.0,1
,57804.18,Master,1.0,0
58.0,65033.05,Bachelor,18.0,1
56.0,73202.9,Bachelor,17.0,1
18.0,56143.84,Bachelor,0.0,0
20.0,50088.14,Bachelor,1.0,0
30.0,31943.74,High School,8.0,0
45.0,96992.76,Master,23.0,1
42.0,59734.82,,9.0,1
50.0,52328.72,Bachelor,1.0,0
55.0,69465.56,High School,37.0,1
23.0,60130.32,Bachelor,2.0,0
61.0,70750.01,High School,36.0,1
62.0,31965.71,High School,6.0,0
49.0,56972.43,Bachelor,6.0,1
62.0,74540.83,Bachelor,,1
64.0,59443.17,Bachelor,9.0,0
38.0,26571.78,High School,0.0,0
33.0,50447.08,Bachelor,10.0,0
38.0,33640.56,High School,6.0,0
28.0,73796.68,PhD,5.0,1
54.0,54966.56,Bachelor,5.0,0
53.0,50064.55,Bachelor,12.0,0
52.0,67984.97,Bachelor,12.0,1
36.0,24213.02,,1.0,0
37.0,103642.15,PhD,18.0,1
35.0,53201.45,High School,17.0,0
64.0,80583.45,Bachelor,37.0,1
58.0,46232.18,Bachelor,1.0,0
31.0,25037.2,High School,2.0,0
32.0,70870.54,Master,9.0,1
48.0,46149.87,Bachelor,5.0,0
18.0,21211.52,High School,0.0,0
20.0,34746.55,High School,2.0,0
33.0,34109.69,High School,5.0,0
40.0,75535.0,Master,,0
28.0,42475.01,Bachelor,5.0,0
29.0,34505.71,High School,11.0,0
27.0,,High School,2.0,0
49.0,63714.11,Bachelor,10.0,1
33.0,,,7.0,1
25.0,47073.72,,0.0,0
55.0,82947.21,,23.0,1
29.0,30183.56,High School,4.0,1
41.0,66794.4,Bachelor,16.0,1
45.0,98120.92,,26.0,1
25.0,,High School,3.0,0
45.0,46817.37,Bachelor,6.0,0
53.0,51713.0,Bachelor,,0
43.0,90378.29,Bachelor,25.0,1
25.0,33597.14,High School,6.0,0
45.0,79709.38,Master,15.0,1
45.0,50893.03,,5.0,0
54.0,56743.88,Bachelor,13.0,1
58.0,41317.57,Bachelor,1.0,0
53.0,51742.98,High School,24.0,0
44.0,48002.12,High School,17.0,0
34.0,54125.8,Bachelor,12.0,1
26.0,25659.82,High School,1.0,0
50.0,67404.88,Bachelor,16.0,1
37.0,58798.13,Bachelor,12.0,1
30.0,65684.24,Bachelor,11.0,1
45.0,54289.21,,11.0,1
65.0,78977.6,Bachelor,34.0,1
46.0,58552.62,,21.0,1
30.0,56041.66,Bachelor,6.0,0
63.0,45634.71,Bachelor,0.0,0
52.0,63356.04,Bachelor,20.0,1
23.0,28834.29,High School,0.0,0
35.0,41643.33,Bachelor,3.0,0
22.0,25866.35,,1.0,0
64.0,39093.52,High School,0.0,0
42.0,40059.45,High School,12.0,0
19.0,67318.65,Master,1.0,0
27.0,31095.8,High School,0.0,0
47.0,58209.46,High School,11.0,0
62.0,37989.74,High School,,0
22.0,32699.23,High School,2.0,0
,39340.88,Bachelor,2.0,0
18.0,24783.69,High School,,0
35.0,47326.27,,17.0,0
49.0,96605.6,Bachelor,,1
64.0,76093.12,Bachelor,30.0,1
28.0,41839.59,Bachelor,3.0,0
38.0,39733.21,Bachelor,2.0,0
43.0,35076.19,High School,11.0,0
,93739.53,Bachelor,22.0,1
39.0,42927.8,High School,11.0,0
44.0,57839.64,Bachelor,16.0,1
30.0,,Bachelor,5.0,0
50.0,82021.1,,29.0,1
51.0,39994.37,Bachelor,1.0,0
